sample id,temp_time_rep
01,35_5_1
02,35_15_1
03,35_30_1
04,35_60_1
05,35_90_1
06,35_120_1
07,35_5_2
08,35_15_2
09,35_30_2
10,35_60_2
11,35_90_2
12,35_120_2
13,37_5_1
14,37_15_1
15,37_30_1
16,37_60_1
17,37_90_1
18,37_120_1
19,37_5_2
20,37_15_2
21,37_30_2
22,37_60_2
23,37_90_2
24,37_120_2
25,39_5_1
26,39_15_1
27,39_30_1
28,39_60_1
29,39_90_1
30,39_120_1
31,39_5_2
32,39_15_2
33,39_30_2
34,39_60_2
35,39_90_2
36,39_120_2
37,42_5_1
38,42_15_1
39,42_30_1
40,42_60_1
41,42_90_1
42,42_120_1
43,42_5_2
44,42_15_2
45,42_30_2
46,42_60_2
47,42_90_2
48,42_120_2
49,44_5_1
50,44_15_1
51,44_30_1
52,44_60_1
53,44_90_1
54,44_120_1
55,44_5_2
56,44_15_2
57,44_30_2
58,44_60_2
59,44_90_2
60,44_120_2
61,46_5_1
62,46_15_1
63,46_30_1
64,46_60_1
65,46_90_1
66,46_120_1
67,46_5_2
68,46_15_2
69,46_30_2
70,46_60_2
71,46_90_2
72,46_120_2
73,30_15_1
74,30_15_2